1.00000,2.88975,-5.00000
2.00000,-3.66039,-4.99800
3.00000,1.92558,-4.99600
4.00000,-0.99653,-4.99400
5.00000,3.18304,-4.99200
6.00000,7.02505,-4.99000
7.00000,1.30593,-4.98800
8.00000,4.06166,-4.98600
9.00000,3.67225,-4.98400
10.00000,6.01599,-4.98200
11.00000,-2.48590,-4.97999
12.00000,1.29719,-4.97799
13.00000,3.15198,-4.97599
14.00000,6.00475,-4.97399
15.00000,-4.48598,-4.97199
16.00000,2.89944,-4.96999
17.00000,-0.59464,-4.96799
18.00000,4.41367,-4.96599
19.00000,-0.01154,-4.96399
20.00000,-1.72044,-4.96199
21.00000,2.26318,-4.95999
22.00000,-1.68894,-4.95799
23.00000,-6.18133,-4.95599
24.00000,-8.01625,-4.95399
25.00000,4.48792,-4.95199
26.00000,5.28902,-4.94999
27.00000,2.71223,-4.94799
28.00000,9.01587,-4.94599
29.00000,3.14882,-4.94399
30.00000,0.24896,-4.94199
31.00000,-0.99984,-4.93998
32.00000,-0.32868,-4.93798
33.00000,4.96419,-4.93598
34.00000,1.19708,-4.93398
35.00000,2.27223,-4.93198
36.00000,2.65360,-4.92998
37.00000,-3.99242,-4.92798
38.00000,-2.37810,-4.92598
39.00000,2.88018,-4.92398
40.00000,-4.64340,-4.92198
41.00000,7.98390,-4.91998
42.00000,4.54285,-4.91798
43.00000,3.56727,-4.91598
44.00000,2.88489,-4.91398
45.00000,5.89471,-4.91198
46.00000,-2.25303,-4.90998
47.00000,3.31368,-4.90798
48.00000,-9.23231,-4.90598
49.00000,2.12054,-4.90398
50.00000,2.35739,-4.90198
51.00000,1.92213,-4.89997
52.00000,6.57253,-4.89797
53.00000,-0.57610,-4.89597
54.00000,6.70844,-4.89397
55.00000,-1.59729,-4.89197
56.00000,6.54710,-4.88997
57.00000,2.31990,-4.88797
58.00000,1.44229,-4.88597
59.00000,3.95273,-4.88397
60.00000,4.26373,-4.88197
61.00000,-2.51577,-4.87997
62.00000,4.33495,-4.87797
63.00000,1.18720,-4.87597
64.00000,-0.01609,-4.87397
65.00000,1.12279,-4.87197
66.00000,1.17998,-4.86997
67.00000,2.19287,-4.86797
68.00000,4.61270,-4.86597
69.00000,-0.24212,-4.86397
70.00000,3.69643,-4.86197
71.00000,4.23464,-4.85996
72.00000,-2.81136,-4.85796
73.00000,0.95193,-4.85596
74.00000,0.63354,-4.85396
75.00000,5.13028,-4.85196
76.00000,1.14295,-4.84996
77.00000,3.35261,-4.84796
